项目,文件名,日期,时长秒,分辨率,功能位,画质等级,描述,画面元素,镜头特征,工序阶段,脱敏风险,置信度
化工钢铁群,化工钢铁_回转窑维修_260612_01.mp4,260612,5.8,720x1280,过程证据,可全屏,回转窑维修,火花、人员、轮带、托轮、筒体、文字牌,中景、手持抖动,加工,客户名称,高
化工钢铁群,化工钢铁_工业维修现场_260613_01.mp4,260613,8.2,720x1280,环境铺垫,可全屏,工业维修现场,人员、轮带、托轮、齿轮、筒体、吊装,中景、手持抖动,无法判断,人脸、客户名称,高
化工钢铁群,化工钢铁_车削作业_260718_01.mp4,260718,4.2,720x1280,过程证据,可全屏,车削作业,人员、轮带、刀具、筒体、焊接,中景、手持抖动,加工,无,高
化工钢铁群,化工钢铁_窑体磨削_260401_07.mp4,260401,8.8,544x960,不可用,仅可内嵌,窑体磨削,人员、筒体,中景、手持抖动,无法判断,无,高
化工钢铁群,260401_02.mp4,260401,16.6,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,260401_03.mp4,260401,22.5,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,化工钢铁_现场测量_260401_10.mp4,260401,23.3,544x960,验收闭环,仅可内嵌,现场测量,量具、筒体,大特写、手持抖动,测量,无,高
化工钢铁群,化工钢铁_回转窑车磨削_260401_06.mp4,260401,13.9,544x960,过程证据,仅可内嵌,回转窑车磨削,筒体、轮带、托轮,固定机位,加工,无,高
化工钢铁群,260401_08.mp4,260401,13.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,化工钢铁_工业振动检测_260401_09.mp4,260401,7.3,544x960,验收闭环,仅可内嵌,工业振动检测,量具,大特写、手持抖动,复检,无,高
化工钢铁群,化工钢铁_设备在线测量_260401_01.mp4,260401,8.0,544x960,环境铺垫,仅可内嵌,设备在线测量,量具、人员、筒体,中景、手持抖动,测量,无,高
化工钢铁群,化工钢铁_工厂内景_260402_01.mp4,260402,14.6,544x960,环境铺垫,仅可内嵌,工厂内景,筒体、托轮、厂区、文字牌,全景、手持抖动,无法判断,无,高
化工钢铁群,化工钢铁_工厂内景_260402_02.mp4,260402,15.8,544x960,环境铺垫,仅可内嵌,工厂内景,筒体、厂区、文字牌,手持抖动,无法判断,安全告示牌,高
化工钢铁群,260401_04.mp4,260401,9.5,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,化工钢铁_现场检修操作_260401_05.mp4,260401,6.8,544x960,过程证据,仅可内嵌,现场检修操作,量具、人员、轮带、托轮,中景、手持抖动,测量,人脸,高
化工钢铁群,化工钢铁_回转窑检修_260609_01.mp4,260609,4.5,720x1280,不可用,可全屏,回转窑检修,轮带、筒体、厂区,中景、固定机位,无法判断,无,高
化工钢铁群,化工钢铁_回转窑设备_260609_01.mp4,260609,3.8,544x960,开场证据,仅可内嵌,回转窑设备,托轮、筒体、磨损面,手持抖动,测量,无,高
化工钢铁群,lQbPJwQ-scmJf18AALAyEWVU8Ce5GAn5g3nCB74A.mp4,260607,12.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,化工钢铁_设备切削修复_260609_01.mp4,260609,11.0,720x1280,过程证据,可全屏,设备切削修复,筒体、轮带,大特写、固定机位,加工,无,高
化工钢铁群,化工钢铁_回转窑切削_260608_01.mp4,260608,14.8,544x960,关键细节,仅可内嵌,回转窑切削,刀具、量具、人员、轮带、筒体、加工纹面、磨损面,中景、固定机位,加工,无,高
化工钢铁群,化工钢铁_回转窑车磨削_260609_01.mp4,260609,8.8,544x960,不可用,仅可内嵌,回转窑车磨削,筒体、轮带、托轮、厂区、文字牌,固定机位,无法判断,打卡应用水印、精确地理位置,高
化工钢铁群,化工钢铁_回转窑检修_260607_01.mp4,260607,11.8,544x960,过程证据,仅可内嵌,回转窑检修,刀具、量具、轮带、筒体、加工纹面、磨损面,固定机位、大特写,加工,无,高
化工钢铁群,lQbPKGz0mcQFea8AALAuf8QaiMeekAn1sr2-8iIA.mp4,260604,14.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
焊接群,焊接_在线车磨检修_260513_01.mp4,260513,11.3,544x960,过程证据,仅可内嵌,在线车磨检修,人员、齿轮、筒体,中景,加工,无,高
焊接群,260501_01.mp4,260501,17.9,720x1280,不可用,可全屏,回转窑筒体,筒体,固定机位,无法判断,无,高
焊接群,260514_02.mp4,260514,14.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
焊接群,焊接_喷涂检测裂缝_260514_01.mp4,260514,14.9,544x960,过程证据,仅可内嵌,喷涂检测裂缝,人员、齿轮、筒体、加工纹面,中景、强对比,测量,无,高
焊接群,焊接_回转窑检修_260505_01.mp4,260505,22.5,544x960,过程证据,仅可内嵌,回转窑检修,人员、筒体,中景、固定机位,加工,无,高
焊接群,260502_02.mp4,260502,10.4,544x960,不可用,仅可内嵌,,无,,无法判断,无,
焊接群,焊接_工业维修现场_260504_01.mp4,260504,2.4,544x960,过程证据,仅可内嵌,工业维修现场,火花、刀具、量具、人员、轮带、筒体、切屑、加工纹面,中景、固定机位,加工,无,高
焊接群,260502_01.mp4,260502,16.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
焊接群,260506_01.mp4,260506,19.8,544x960,不可用,仅可内嵌,,无,,无法判断,无,
焊接群,焊接_维修现场_260514_03.mp4,260514,14.3,544x960,过程证据,仅可内嵌,维修现场,人员、轮带、筒体,中景、固定机位,加工,无,高
焊接群,260504_02.mp4,260504,7.8,544x960,不可用,仅可内嵌,,无,,无法判断,无,
